股票代號,股票名稱,股數,持股權重
2330,台積電,12134000,9.48
2383,台光電,4863000,8.88
2454,聯發科,5448000,7.39
3037,欣興,20210000,6.49
3017,奇鋐,5900000,6.06
2327,國巨*,25437000,5.4
6223,旺矽,2443000,5.09
6669,緯穎,2496000,4.86
2345,智邦,6594000,4.8
2308,台達電,7070000,4.28
3711,日月光投控,19529000,3.92
8046,南電,9634000,3.76
3653,健策,2375000,3.53
2303,聯電,87718000,3.5
3665,貿聯-KY,4616848,3.27
6274,台燿,5499000,2.82
5274,信驊,484900,2.72
6805,富世達,2265000,1.33
2368,金像電,4000000,1.3
2449,京元電子,11295450,0.92
8210,勤誠,2497000,0.79
6187,萬潤,1334000,0.54
2360,致茂,622000,0.46
3264,欣銓,5918000,0.44
4979,華星光,2424000,0.44
6510,精測,478000,0.43
8996,高力,802000,0.33
4958,臻鼎-KY,1682000,0.26
6278,台表科,3250000,0.18
6271,同欣電,2224000,0.14
6191,精成科,3988000,0.11
3376,新日興,1741000,0.11
6515,穎崴,13000,0.03
4966,譜瑞-KY,140000,0.03
2002,中鋼,5163000,0.03
8358,金居,1000,0.0
3661,世芯-KY,1000,0.0
3443,創意,1000,0.0
2439,美律,1000,0.0
1590,亞德客-KY,1000,0.0
3008,大立光,1000,0.0
2382,廣達,1000,0.0
3533,嘉澤,1000,0.0
2408,南亞科,1000,0.0
6488,環球晶,1000,0.0
2313,華通,1000,0.0
8150,南茂,1000,0.0
2317,鴻海,1000,0.0
5347,世界,1000,0.0
2481,強茂,5000,0.0
